Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2018","2018","mil toneladas","620437.348754","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2019","2019","mil toneladas","587392.535739","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2020","2020","mil toneladas","584883.129448","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6507","Transformación de alimentos","2021","2021","mil toneladas","615940.004059","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1990","1990","mil toneladas","296365.769851","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1991","1991","mil toneladas","300925.148234","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1992","1992","mil toneladas","317079.946293","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1993","1993","mil toneladas","321409.268392","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1994","1994","mil toneladas","325263.800662","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1995","1995","mil toneladas","331085.720635","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1996","1996","mil toneladas","341914.689036","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1997","1997","mil toneladas","351771.852581","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1998","1998","mil toneladas","360787.702024","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","1999","1999","mil toneladas","369740.148766","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2000","2000","mil toneladas","377043.606734","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2001","2001","mil toneladas","381761.840281","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2002","2002","mil toneladas","390107.099767","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2003","2003","mil toneladas","401728.814096","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2004","2004","mil toneladas","417212.990827","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2005","2005","mil toneladas","424343.12394","E","Valor estimado"
"GPP","Emisiones derivadas de las fases anteriores y posteriores a la producción agrícola","001","Mundo","7273","Emisiones (CO2)","6815","Transformación de alimentos","2006","2006","mil toneladas","436704.434283","E","Valor estimado"
